text,label,source
"The software shall support touch interaction with the interface using fingers or a stylus for actions like drawing, manipulating objects, and adjusting tools.",0,Dataset6000Req.xlsx
The system shall update or create new property listings in the MLS.,0,Dataset6000Req.xlsx
"The system shall be maintainable by highly professional maintainers, who are solely responsible for updating and adding new features.",1,Dataset6000Req.xlsx
'The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.',0,dataset_raw.csv
The system shall allow publishers to create data packages in the user interface.,0,Dataset6000Req.xlsx
"All input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level.",1,Dataset6000Req.xlsx
User shall be able to search for categories by video name or type.,0,Dataset6000Req.xlsx
"System shall restrict access to sensitive features and functionalities to authorized users only, ensuring privacy and data security.",1,Dataset6000Req.xlsx
The system shall allow staff members to perform completeness reviews for applications.,0,Dataset6000Req.xlsx
Confirmation of remaining credits shall be provided after each job posting.,0,Dataset6000Req.xlsx
"An administrators manual, explaining how to install and operate the MultiMahjongServer, will be provided.",1,Dataset6000Req.xlsx
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',1,dataset_raw.csv
It shall be compatible with Windows 8 and Mac X operating systems.,1,Dataset6000Req.xlsx
Customers shall receive a confirmation email with order details.,0,Dataset6000Req.xlsx
"User views the cart contents, which are managed by JavaScript code.",0,Dataset6000Req.xlsx
The overall program shall be as reliable as its least reliable component.,1,Dataset6000Req.xlsx
Security camera shall be installed near the ATM.,1,Dataset6000Req.xlsx
Healthcare providers shall have the ability to create and send electronic prescriptions to pharmacies.,0,Dataset6000Req.xlsx
"User shall be able to create, update, and delete archival descriptions in their repository.",0,Dataset6000Req.xlsx
'The adjuster shall request a recycled parts audit of the collision estimate.',0,dataset_raw.csv
'The product shall allow a user to remove himself or herself from the list of players at any time.',0,dataset_raw.csv
User shall be informed about system failures through error messages displayed on the main screen.,1,Dataset6000Req.xlsx
"The system shall manage names, positions in sequence, and adjustable parameters for all processing pipeline applications.",0,Dataset6000Req.xlsx
System shall verify account authorization and initiate transaction dialog upon acceptance.,0,Dataset6000Req.xlsx
"Crafty kids corner shall provide ways for users to give feedback, such as ratings or comments, to improve the site's offerings.",1,Dataset6000Req.xlsx
System shall be highly available with minimal downtime.,1,Dataset6000Req.xlsx
System shall provide example citations and DOIs for datasets to facilitate correct referencing and future access.,1,Dataset6000Req.xlsx
System shall allow the user to initiate a single dispute case on multiple transactions belonging to a single merchant.,0,Dataset6000Req.xlsx
The system must allow a member of the network to send requests to a particular or all the other members about possible delivery of a driver's smart card to a similar person.,0,Dataset6000Req.xlsx
System shall encrypt transactions to protect them from unauthorized interception.,1,Dataset6000Req.xlsx
"Agricultural experts shall be able to respond to user queries, which will be displayed on the user’s dashboard upon successful reply.",0,Dataset6000Req.xlsx
"If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place.",0,Dataset6000Req.xlsx
A customer shall not be able to dismiss their engaged menu while there is a non-empty pending order associated with the engaged menu.,0,Dataset6000Req.xlsx
System shall prioritize security and performance as software quality attributes.,1,Dataset6000Req.xlsx
Superuser shall update recycling center information to provide the latest details.,0,Dataset6000Req.xlsx
"System shall handle up to 20,000 transactions per minute during peak workload conditions.",1,Dataset6000Req.xlsx
The system shall allow camp administrators to upload consent forms for easy access.,0,Dataset6000Req.xlsx
System shall provide clear information on sponsorship levels for user understanding.,1,Dataset6000Req.xlsx
'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',1,dataset_raw.csv
A staff member shall view a page of information by selecting from the options presented on the welcome screen. Selection shall be performed using a simple keypad.,0,Dataset6000Req.xlsx
Client shall view driver history.,0,Dataset6000Req.xlsx
The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',1,dataset_raw.csv
System shall include a checkbox for users to accept cancellation terms.,1,Dataset6000Req.xlsx
Users shall be able to book a movie through the service.,0,Dataset6000Req.xlsx
System shall request a deposit of Rs. 5000 upon entry of valid customer information and update it temporarily in the customer database.,0,Dataset6000Req.xlsx
Administrator shall be able to arrange videos in their respective categories in the database.,0,Dataset6000Req.xlsx
System shall have a backup power supply for power failures.,1,Dataset6000Req.xlsx
The system shall facilitate law enforcement inquiries about driver's license status with issuing authorities by driver information or card details.,0,Dataset6000Req.xlsx
100% of saved user preferences shall be restored when system comes back online.,1,Dataset6000Req.xlsx
System shall allow searching by date range for items.,0,Dataset6000Req.xlsx
"Customer shall be able to cancel an order and if canceled, money will be transferred to wallet to order food for next time (If Card Payment).",0,Dataset6000Req.xlsx
'The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.',1,dataset_raw.csv
System shall allow users to create drafts of emails that can be saved and edited later before sending.,0,Dataset6000Req.xlsx
The system shall have a user-friendly interface that is intuitive and easy to navigate.,1,Dataset6000Req.xlsx
A red Not OK indicator will be active to signify a confirmed diagnostic condition.,0,Dataset6000Req.xlsx
"User shall search for articles on the Online Journal Website by author name, category, or keyword.",0,Dataset6000Req.xlsx
System shall verify the entered ID and password against the database.,0,Dataset6000Req.xlsx
'Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.',0,dataset_raw.csv
'The product must be developed with the J2SE/J2EE programming language libraries',1,dataset_raw.csv
The current repair facility ratings shall be displayed to the user.,0,Dataset6000Req.xlsx
"The server shall be capable of supporting an arbitrary number of active orders, that is, no orders shall be lost under any circumstances.",1,Dataset6000Req.xlsx
The system shall be compatible with Intel-based Mac computers and Windows 10/11 ARM-based PCs.,1,Dataset6000Req.xlsx
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",1,Dataset6000Req.xlsx
The system shall allow administrators to download embargo metadata for ETDs.,0,Dataset6000Req.xlsx
'The product shall comply with insurance regulations regarding claims processing.',1,dataset_raw.csv
"Program will have a simple, graphically appealing interface designed for sixth graders.",1,Dataset6000Req.xlsx
"User shall be able to view and update the details of an existing patient profile, with only the latest details maintained by the system.",0,Dataset6000Req.xlsx
System shall be able to ensure that the time elapsed between a player making a move and other players updating the game state is under 5 seconds.,1,Dataset6000Req.xlsx
'We must be able to interface with any HTML browser.',1,dataset_raw.csv
The system shall be able to tweet about insApption from the main menu.,0,Dataset6000Req.xlsx
FABS user shall have validations run in a reasonable amount of time for efficient data processing.,1,Dataset6000Req.xlsx
"User shall input information about their child's routine care, including weight, feedings, and oxygen saturation, on the ""Track Your Child"" page.",0,Dataset6000Req.xlsx
Users shall be able to select a session based on the FACET and the tool they wish to use.,0,Dataset6000Req.xlsx
The system shall maintain consistent security through the use of passwords.,0,Dataset6000Req.xlsx
The user shall be able to add the date and time for the exam.,0,Dataset6000Req.xlsx
The system shall allow the Managers group to enter/approve requests but deny deletion privileges.,0,Dataset6000Req.xlsx
The user shall be able to cancel booked tickets if they need to change their travel dates.,0,Dataset6000Req.xlsx
Clients shall receive notification email of booking confirmation.,0,Dataset6000Req.xlsx
"The system shall provide a private section within Memories named ""My Eyes Only"" secured by a user-defined passcode, with the caveat that a forgotten passcode will result in permanent deletion of all data stored within.",0,Dataset6000Req.xlsx
User shall be able to log out by clicking on the logout button.,0,Dataset6000Req.xlsx
The system shall allow scrolling through past stories and estimates.,0,Dataset6000Req.xlsx
The product shall respond fast to keep up-to-date data in the display.,1,Dataset6000Req.xlsx
Load balancing techniques shall be employed to distribute incoming traffic evenly across multiple servers and prevent server overload.,1,Dataset6000Req.xlsx
The security requirements of the system shall adhere to industry standards and best practices.,1,Dataset6000Req.xlsx
"If the database has no closing time for Rush Building, the system will inform the user and provide the Drexel University website for further information.",0,Dataset6000Req.xlsx
"User shall be able to fill out a user registration form, to register for BADCamp and create an account.",0,Dataset6000Req.xlsx
System shall be able to check if user credentials are valid and display an error message if invalid.,0,Dataset6000Req.xlsx
User shall attempt the examination within the allocated time.,0,Dataset6000Req.xlsx
Admin shall be able to add new routes or edit existing bus journey routes.,0,Dataset6000Req.xlsx
'The product will function alongside server software on any operating system where the Java runtime can be installed.',1,dataset_raw.csv
System will display a message confirming that the problem or issue has been submitted successfully.,0,Dataset6000Req.xlsx
"User shall update a blog by filling out a form with title, description, and content, with validation ensuring data integrity.",0,Dataset6000Req.xlsx
Adobe Illustrator shall support both Intel and AMD processors.,0,Dataset6000Req.xlsx
The over temperature values shall reside in an initialization file.,0,Dataset6000Req.xlsx
Staff shall block accounts with illegal transactions or lost/stolen ATM cards upon proper verification.,1,Dataset6000Req.xlsx
System shall update the book status to Approved when the administrator approves the member request.,0,Dataset6000Req.xlsx
The system shall automatically generate nametags for campers.,0,Dataset6000Req.xlsx
"User shall be able to move an activity by selecting it on the canvas, performing a mouse down action, dragging it to the desired location, and releasing the mouse.",0,Dataset6000Req.xlsx
Users should be able to easily understand and select results from the list with just a single click.,1,Dataset6000Req.xlsx
"Administrators shall be able to unlink a POI from a specific building, floor, and room number.",0,Dataset6000Req.xlsx
"Fees for various features like job posting, premium membership, etc., shall be configurable.",0,Dataset6000Req.xlsx
The product shall implement access control to distinguish between authorized and unauthorized users in all access attempts.,1,Dataset6000Req.xlsx
Keypad shall have 16 tactile keys and 8 tactile function keys.,0,Dataset6000Req.xlsx
System shall ensure accessibility of the web interface in the user's native language to eliminate language barriers.,1,Dataset6000Req.xlsx
System shall support the deletion of blogs by validating user actions and updating the database accordingly.,0,Dataset6000Req.xlsx
User shall specify metadata for an experiment protocol before creating a file.,0,Dataset6000Req.xlsx
"The system shall allow users to save spreadsheets in various file formats (e.g., XLSX, XLS).",0,Dataset6000Req.xlsx
"The system shall allow adding, editing, and deleting medicine information (name, composition, dosage, etc.).",0,Dataset6000Req.xlsx
"The system shall be able to send alerts (e.g., email, SMS) to users upon their request whenever an action is taken on their defect or enhancement request.",0,Dataset6000Req.xlsx
"User shall be able to search for flights by entering destination, boarding place, and date of journey, with a display of available flights matching the criteria.",0,Dataset6000Req.xlsx
System shall integrate with existing University systems such as LDAP for cost-effective administration.,1,Dataset6000Req.xlsx
"User shall have a profile page where they can edit information such as password, email address, and phone number.",0,Dataset6000Req.xlsx
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',1,dataset_raw.csv
Restaurants shall assign delivery boys to deliver orders.,0,Dataset6000Req.xlsx
Customer shall be able to navigate between menu and can add items to cart.,0,Dataset6000Req.xlsx
"System shall comply with data protection and privacy laws, such as GDPR or HIPAA, as applicable.",1,Dataset6000Req.xlsx
System shall ensure data privacy and security.,1,Dataset6000Req.xlsx
The system shall allow inspection staff to create inspections.,0,Dataset6000Req.xlsx
There shall be no sound or animation used in the product.,0,Dataset6000Req.xlsx
'The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.',0,dataset_raw.csv
System shall be able to provide login functionality using username and password.,0,Dataset6000Req.xlsx
"Data communication protocol shall ensure reliability and quality of data and voice transmission, such as CDMA.",1,Dataset6000Req.xlsx
'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',1,dataset_raw.csv
The user shall be familiar with a Web Server environment.,1,Dataset6000Req.xlsx
'The product shall be easy for a realtor to learn.',1,dataset_raw.csv
System shall continuously maintain and update backups of the database to reflect the most recent changes.,1,Dataset6000Req.xlsx
The system shall authenticate users based on username and password.,0,Dataset6000Req.xlsx
The system shall allow archivists to rotate images and perform basic image adjustments.,0,Dataset6000Req.xlsx
"The system shall look into the database, display product information, and update the database with the new price.",0,Dataset6000Req.xlsx
Registered patients shall be able to log in to the portal using their credentials.,0,Dataset6000Req.xlsx
'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.',1,dataset_raw.csv
The main window shall have main menus entitled File and Status.,0,Dataset6000Req.xlsx
The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.,0,Dataset6000Req.xlsx
The system shall allow a member to do statistics on messages issued and received from/to his system,0,Dataset6000Req.xlsx
The product shall be designed with very limited graphics usage and shall utilize a simple keypad for user input.,0,Dataset6000Req.xlsx
The system shall allow users to select a specific category to view its contents.,0,Dataset6000Req.xlsx
The search resume facility shall be activated by paying a fee based on requirements.,0,Dataset6000Req.xlsx
The system shall ensure secure placement to prevent unauthorized access.,1,Dataset6000Req.xlsx
Managers shall have the ability to reset passwords.,0,Dataset6000Req.xlsx
"Upon successful login, the system shall redirect the user to the main screen.",0,Dataset6000Req.xlsx
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,1,Dataset6000Req.xlsx
Users shall be able to view student applications.,0,Dataset6000Req.xlsx
The tool shall associate with each continuous parameter one or more tolerances each corresponding to a different sensitivity level for the tool.,0,Dataset6000Req.xlsx
"User shall be able to provide customer details including name, address, and phone number.",0,Dataset6000Req.xlsx
The system shall allow curators to establish relationships between collections.,0,Dataset6000Req.xlsx
User shall/will be able to integrate with Netbeans IDE 7.2.1 for Java development and MySQL Query Browser for database management.,1,Dataset6000Req.xlsx
System shall provide a feature to schedule emails to be sent at a later time.,0,Dataset6000Req.xlsx
The Disputes System shall accurately provide a list of possible reason codes for transactions based on transaction type and merchant industry.,0,Dataset6000Req.xlsx
All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.,1,Dataset6000Req.xlsx
"In case of hardware failure or database corruption, users shall be redirected to a replacement page.",1,Dataset6000Req.xlsx
The system shall be optimized for high performance by clearly separating the business logic from the UI.,1,Dataset6000Req.xlsx
System shall validate Client ID format as AADDMMYYYY99 and reject other formats immediately.,0,Dataset6000Req.xlsx
'Product formulas shall allow use of semi-products which have own formulas.',0,dataset_raw.csv
"User shall be able to deposit and maintain datasets through a simple web interface, facilitating ease of use.",0,Dataset6000Req.xlsx
The system shall allow staff members to develop staff reports for publication and distribution.,0,Dataset6000Req.xlsx
The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student’s status from full time to part time and moving a student to a different clinical section.,0,Dataset6000Req.xlsx
"The system shall query the database for product information, calculate the total payable amount after taxes, and create a bill in printable format.",0,Dataset6000Req.xlsx
The Disputes System shall preserve user phases even when moderators revert to a previous phase.,0,Dataset6000Req.xlsx
Administrators shall be able to remove buildings.,0,Dataset6000Req.xlsx
The system shall allow camp administrators to schedule activities for campers.,0,Dataset6000Req.xlsx
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',1,dataset_raw.csv
The system shall be accessible on mobile browsers as well.,1,Dataset6000Req.xlsx
User shall/will be able to transfer funds between their own accounts or to others accounts.,0,Dataset6000Req.xlsx
The system shall display the list of people the user follows on the dashboard.,0,Dataset6000Req.xlsx
A system administrator shall have unrestricted access to all aspects of the system.,1,Dataset6000Req.xlsx
System shall perform proper validation of data before sending it to the database.,1,Dataset6000Req.xlsx
User shall select from the dropdown menu.,0,Dataset6000Req.xlsx
System shall maintain data integrity by preventing data loss through proper database management.,1,Dataset6000Req.xlsx
The system shall allow admins to validate and edit video segmentation.,0,Dataset6000Req.xlsx
"User shall input the date, destination, and duration for car rental.",0,Dataset6000Req.xlsx
The codebase shall be well-maintained with clean coding practices and thorough documentation to facilitate ease of maintenance.,1,Dataset6000Req.xlsx
System shall facilitate integration with institutional repositories and data catalogues.,1,Dataset6000Req.xlsx
"The system shall support multicast protocols for sending multicast messages, requiring compatible routers, network cards, and operating systems.",1,Dataset6000Req.xlsx
"The system shall automatically populate the ""estimate"" field if all estimators reveal the same card.",0,Dataset6000Req.xlsx
User shall be able to import EAD data.,0,Dataset6000Req.xlsx
The user shall be able to access help content in both offline and online modes.,1,Dataset6000Req.xlsx
User shall have access to a log of previously visited websites.,0,Dataset6000Req.xlsx
Only maintainers shall be granted access to internal servers for maintenance purposes.,1,Dataset6000Req.xlsx
System shall be able to store up to 300GB of data.,1,Dataset6000Req.xlsx
"Settings shall include notification settings, app language change, and help menu.",0,Dataset6000Req.xlsx
A server shall host the Foodie App and provide system data processing and storage capability.,0,Dataset6000Req.xlsx
'The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.',1,dataset_raw.csv
The website shall focus on software quality attributes such as security and performance.,1,Dataset6000Req.xlsx
The system shall allow searching by date range for items.,0,Dataset6000Req.xlsx
User shall have the option to add advertisements on the website by providing necessary specifications about the property.,0,Dataset6000Req.xlsx
"Transaction receipt shall be 3.1 by 6 inches, while statement receipt shall be 4.2 by 12 inches.",0,Dataset6000Req.xlsx
The APAF system shall process the engineering and ancillary information necessary for calibration and science validation into IDFS data sets.,0,Dataset6000Req.xlsx
'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.',1,dataset_raw.csv
A Data Publishing User shall be able to provide additional GeoJSON sources.,0,Dataset6000Req.xlsx
Administrator shall manage user accounts.,0,Dataset6000Req.xlsx
"The system shall allow site editors to add, edit, and set publishing dates for articles.",0,Dataset6000Req.xlsx
"System shall be able to respond to critical processes within defined time limits, including patient registration, consultation requests, and prescription lookup.",1,Dataset6000Req.xlsx
'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',1,dataset_raw.csv
The Khan Academy platform shall provide students with opportunities to practice and refine math skills.,0,Dataset6000Req.xlsx
User shall move multiple files using the Neurohub file browser.,0,Dataset6000Req.xlsx
User shall be able to specify disposal policies for datasets to ensure compliance with laws and agreements.,0,Dataset6000Req.xlsx
The system shall allow trainers to create new courses and events.,0,Dataset6000Req.xlsx
System shall ensure that enabling or disabling explore for a dataset does not result in silent loss of data or data available for explore.,1,Dataset6000Req.xlsx
"If the user enters incorrect username or password, the system shall display a warning message.",0,Dataset6000Req.xlsx
"Administrators shall be able to link a POI to a specific building, floor, and room number.",0,Dataset6000Req.xlsx
"User shall be prompted to enter their serial key, and the system shall verify information and password with the service provider.",0,Dataset6000Req.xlsx
Customer shall be able to view nearby restaurants(Specified Distance).,0,Dataset6000Req.xlsx
The user shall be able to choose a restaurant type from a list and see the results on a map.,0,Dataset6000Req.xlsx
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,1,Dataset6000Req.xlsx
A Moderator shall be able to specify a warning for total ideas remaining.,0,Dataset6000Req.xlsx
Administrator shall be able to check feedbacks.,0,Dataset6000Req.xlsx
System shall regularly update and maintain the Gmail platform to ensure optimal performance and security.,0,Dataset6000Req.xlsx
'All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)',0,dataset_raw.csv
System shall store all databases on redundant computers with automatic switchover for reliability.,1,Dataset6000Req.xlsx
The system shall be available for use from the supermarket's opening time to its closing time.,1,Dataset6000Req.xlsx
'The system shall have a professional appearance',1,dataset_raw.csv
"Official events listed on Drexel website, location and hours will have accuracy greater than 40%.",1,Dataset6000Req.xlsx
System shall include all relevant sites in its search engine index.,0,Dataset6000Req.xlsx
User shall always keep control over the activities of ALFRED.,0,Dataset6000Req.xlsx
A waiter password used for tablet login must be changed every three months.,1,Dataset6000Req.xlsx
The software interface shall be designed to provide a more intuitive and natural drawing experience for users with a touch-screen enabled tablet/monitor.,1,Dataset6000Req.xlsx
User shall be able to exchange information with police units/personnel.,0,Dataset6000Req.xlsx
"System shall provide options to search, filter, and sort content.",0,Dataset6000Req.xlsx
The BE shall be able to initiate a processing task on any Backend processor.,0,Dataset6000Req.xlsx
User shall have the option to select multiple search criteria.,0,Dataset6000Req.xlsx
The product shall comply with corporate User Interface Guidelines.,1,Dataset6000Req.xlsx
System shall provide a user-friendly registration form for ease of registration.,1,Dataset6000Req.xlsx
'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',1,dataset_raw.csv
"System shall be able to provide a list of the 3 nearest sites, sorted alphabetically by name, with links to their respective pages.",0,Dataset6000Req.xlsx
System shall facilitate information exchange between citizens and police.,0,Dataset6000Req.xlsx
"Upon successful login, the system shall create a secure session for the user.",0,Dataset6000Req.xlsx
System shall ensure maintainability by designing a flexible structure that allows for easy integration of new functionalities.,1,Dataset6000Req.xlsx
The product must be easily learnable within two days of onsite training for Adjusters and Collision Estimators.,1,Dataset6000Req.xlsx
"Each patient shall have mandatory information including first name, last name, phone number, personal health number, address, postal code, city, country, and patient identification number.",0,Dataset6000Req.xlsx
'The preferred repair facility ratings shall be saved by the system.',0,dataset_raw.csv
'shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.',0,dataset_raw.csv
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,1,Dataset6000Req.xlsx
"The system shall adhere to relevant banking and financial industry regulations, including Know Your Customer (KYC) and Anti-Money Laundering (AML) requirements.",1,Dataset6000Req.xlsx
System shall display all related items that other users purchased in addition to the selected product.,0,Dataset6000Req.xlsx
"System shall be able to send a request to the central system, wait for a response, and perform the transaction accordingly.",0,Dataset6000Req.xlsx
A waiter shall only be able to log into one tablet at any given instance of time.,1,Dataset6000Req.xlsx
The LMS shall support 500 patrons and handle 1000 requests per minute simultaneously.,0,Dataset6000Req.xlsx
System shall process up to 50 tasks per second to maintain operational efficiency.,1,Dataset6000Req.xlsx
"System shall display updated time, location, and bus status on the user pages.",0,Dataset6000Req.xlsx
System shall be able to provide auto-suggestions for search queries.,0,Dataset6000Req.xlsx
The diagnostic history window shall display a maximum time interval of two years.,0,Dataset6000Req.xlsx
The system shall provide a way for parents to connect with staff in case of emergencies.,0,Dataset6000Req.xlsx
"The system shall utilize a relational database (MetadataDB) for storing structured video metadata like title, language, size, and duration.",1,Dataset6000Req.xlsx
"The system shall allow administrators to create ""Other"" courses/events without a listing fee.",0,Dataset6000Req.xlsx
Delivery boy shall be able to receive customer details from restaurant.,0,Dataset6000Req.xlsx
The system shall communicate with the database through a wireless Ethernet system.,0,Dataset6000Req.xlsx
System shall extract only events available in the agenda app from the agenda RSS feeds in the selected language.,0,Dataset6000Req.xlsx
System shall provide a user-friendly landing page for browsing training offerings.,1,Dataset6000Req.xlsx
System shall find diverse applications.,1,Dataset6000Req.xlsx
"User shall be able to search for items by price, location, or category.",0,Dataset6000Req.xlsx
"Users shall specify a timeframe (e.g., one day, one week, one month) for forecasts.",0,Dataset6000Req.xlsx
'The product will allow priviledged users to view meeting schedules in multiple reporting views.',0,dataset_raw.csv
The system shall allow users to chat with other users who are collaborating on a score.,0,Dataset6000Req.xlsx
The system shall allow site members to create profiles.,0,Dataset6000Req.xlsx
'The estimator shall search for available recycled parts using a list of preferred parts suppliers.',0,dataset_raw.csv
'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',1,dataset_raw.csv
